Experiment,Location,Structure,Position,Species,Type,Origin,Comments,Date_0,Length_0,Width1_0,Width2_0,EV_0,Condition_0,Cause_0,SGR_0,Comments_0,Date_1,Length_1,Width1_1,Width2_1,EV_1,Condition_1,Cause_1,SGR_1,Comments_1,Date_2,Length_2,Width1_2,Width2_2,EV_2,Condition_2,Cause_2,SGR_2,Comments_2,Date_3,Length_3,Width1_3,Width2_3,EV_3,Condition_3,Cause_3,SGR_3,Comments_3,Date_4,Length_4,Width1_4,Width2_4,EV_4,Condition_4,Cause_4,SGR_4,Comments_4,Date_5,Length_5,Width1_5,Width2_5,EV_5,Condition_5,Cause_5,SGR_5,Comments_5,Date_6,Length_6,Width1_6,Width2_6,EV_6,Condition_6,Cause_6,SGR_6,Comments_6,Date_7,Length_7,Width1_7,Width2_7,EV_7,Condition_7,Cause_7,SGR_7,Comments_7,Date_8,Length_8,Width1_8,Width2_8,EV_8,Condition_8,Cause_8,SGR_8,Comments_8,Date_9,Length_9,Width1_9,Width2_9,EV_9,Condition_9,Cause_9,SGR_9,Comments_9,Date_10,Length_10,Width1_10,Width2_10,EV_10,Condition_10,Cause_10,SGR_10,Comments_10,Date_11,Length_11,Width1_11,Width2_11,EV_11,Condition_11,Cause_11,SGR_11,Comments_11,Date_12,Length_12,Width1_12,Width2_12,EV_12,Condition_12,Cause_12,SGR_12,Comments_12
Depth gradient 2017 - 2018,Pilli Pipa,8,1,Acropora verweyi,Mini nursery,,Depth = 01,04-Sep-17,6.5,2.7,3,41,100,,,,29-Mar-18,6.6,3.5,3.3,60,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Depth gradient 2017 - 2018,Pilli Pipa,8,2,Acropora verweyi,Mini nursery,,Depth = 01,04-Sep-17,5.6,3.7,2.6,44,90,,,,29-Mar-18,5.7,4.3,3.2,63,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Depth gradient 2017 - 2018,Pilli Pipa,8,3,Acropora verweyi,Mini nursery,,Depth = 01,04-Sep-17,6.5,5.6,6,172,100,,,,29-Mar-18,4,2.9,1,12,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Depth gradient 2017 - 2018,Pilli Pipa,8,4,Acropora verweyi,Mini nursery,,Depth = 01,04-Sep-17,3.9,3.3,2.6,27,100,,,,29-Mar-18,4.3,3.7,3.3,41,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Depth gradient 2017 - 2018,Pilli Pipa,8,5,Acropora verweyi,Mini nursery,,Depth = 01,04-Sep-17,6.1,5.1,3.9,97,100,,,,29-Mar-18,5.3,5.8,2.9,79,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Depth gradient 2017 - 2018,Pilli Pipa,8,6,Acropora verweyi,Mini nursery,,Depth = 01,04-Sep-17,6.9,4.2,3.3,76,80,,,,29-Mar-18,1.3,0.9,0.1,0,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Depth gradient 2017 - 2018,Pilli Pipa,8,7,Acropora verweyi,Mini nursery,,Depth = 01,04-Sep-17,5.7,4.6,3.9,81,100,,,,29-Mar-18,2.8,2.5,1.7,10,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Depth gradient 2017 - 2018,Pilli Pipa,8,8,Acropora verweyi,Mini nursery,,Depth = 01,04-Sep-17,7.7,5.9,4.6,167,100,,,,29-Mar-18,7,5.3,4,119,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Depth gradient 2017 - 2018,Pilli Pipa,8,9,Acropora verweyi,Mini nursery,,Depth = 01,04-Sep-17,6.2,4.3,3.5,74,100,,,,29-Mar-18,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Depth gradient 2017 - 2018,Pilli Pipa,8,10,Acropora verweyi,Mini nursery,,Depth = 01,04-Sep-17,6.5,5.4,4.5,125,100,,,,29-Mar-18,,,,,0,missing,,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intertidal 2020,Firefly,1,1,Pocillopora damicornis,Bottle nursery,intertidal origin,Subtidal culture,25-Oct-20,,,,,,,,,17-Dec-20,4.3,4.4,3.8,57,95,,,,16-Mar-20,,,,,0,Dead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04-Mar-21,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intertidal 2020,Firefly,1,2,Pocillopora damicornis,Bottle nursery,intertidal origin,Subtidal culture,25-Oct-20,,,,,,,,,17-Dec-20,3.8,3.5,3.2,33,90,,,,16-Mar-20,,,,,0,Missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04-Mar-21,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intertidal 2020,Firefly,1,3,Pocillopora damicornis,Bottle nursery,intertidal origin,Subtidal culture,25-Oct-20,,,,,,,,,17-Dec-20,4.9,2.8,2.2,24,100,,,,16-Mar-20,,,,,0,Dead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04-Mar-21,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intertidal 2020,Firefly,1,4,Pocillopora damicornis,Bottle nursery,intertidal origin,Subtidal culture,25-Oct-20,,,,,,,,,17-Dec-20,5.1,3.9,1.9,34,95,,,,16-Mar-20,5.7,6.4,4.9,143,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04-Mar-21,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intertidal 2020,Firefly,1,5,Pocillopora damicornis,Bottle nursery,intertidal origin,Subtidal culture,25-Oct-20,,,,,,,,,17-Dec-20,4.6,2.8,1.8,19,100,,,,16-Mar-20,,,,,0,Dead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04-Mar-21,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intertidal 2020,Firefly,1,6,Pocillopora damicornis,Bottle nursery,intertidal origin,Subtidal culture,25-Oct-20,,,,,,,,,17-Dec-20,3.9,2.4,2.2,16,90,,,,16-Mar-20,5.2,5.3,5.3,115,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04-Mar-21,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intertidal 2020,Firefly,1,7,Pocillopora damicornis,Bottle nursery,intertidal origin,Subtidal culture,25-Oct-20,,,,,,,,,17-Dec-20,4.9,2.5,2.1,20,90,,,,16-Mar-20,,,,,0,Dead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04-Mar-21,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intertidal 2020,Firefly,1,8,Pocillopora damicornis,Bottle nursery,intertidal origin,Subtidal culture,25-Oct-20,,,,,,,,,17-Dec-20,3.8,3.8,3.4,39,90,,,,16-Mar-20,,,,,0,Dead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04-Mar-21,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intertidal 2020,Firefly,2,1,Pocillopora damicornis,Bottle nursery,subtidal origin,Subtidal culture,25-Oct-20,3.2,3.4,2.5,22,100,,,,17-Dec-20,4.5,4.2,4,59,100,,,,16-Mar-20,8.2,6.7,6.7,289,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04-Mar-21,,,,0,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intertidal 2020,Firefly,2,2,Pocillopora damicornis,Bottle nursery,subtidal origin,Subtidal culture,25-Oct-20,3.2,3.2,2.6,21,100,,,,17-Dec-20,,,,,0,Dead,,dead,16-Mar-20,,,,,0,Dead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04-Mar-21,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intertidal 2020,Firefly,2,3,Pocillopora damicornis,Bottle nursery,subtidal origin,Subtidal culture,25-Oct-20,3.9,2.3,1.6,12,100,,,,17-Dec-20,4.8,2.5,2,19,95,,,,16-Mar-20,7.2,4.7,4.6,122,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04-Mar-21,,,,0,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intertidal 2020,Firefly,2,4,Pocillopora damicornis,Bottle nursery,subtidal origin,Subtidal culture,25-Oct-20,4.1,3.8,2.3,30,90,,,,17-Dec-20,3.5,2.5,2.2,15,55,,,,16-Mar-20,,,,,0,Dead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04-Mar-21,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intertidal 2020,Firefly,2,5,Pocillopora damicornis,Bottle nursery,subtidal origin,Subtidal culture,25-Oct-20,5.3,4.3,4,72,100,,,,17-Dec-20,6.7,5.1,3.1,88,95,,,,16-Mar-20,9.2,7.4,6.3,339,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04-Mar-21,,,,0,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intertidal 2020,Firefly,2,6,Pocillopora damicornis,Bottle nursery,subtidal origin,Subtidal culture,25-Oct-20,4.4,4.1,2.8,41,100,,,,17-Dec-20,5.7,5.4,3.3,85,100,,,,16-Mar-20,8.9,7.4,5.7,300,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04-Mar-21,,,,0,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intertidal 2020,Firefly,2,7,Pocillopora damicornis,Bottle nursery,subtidal origin,Subtidal culture,25-Oct-20,5.2,3,1.7,23,100,,,,17-Dec-20,5.5,3,2.3,30,100,,,,16-Mar-20,8.1,5.5,5.2,182,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04-Mar-21,,,,0,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intertidal 2020,Firefly,2,8,Pocillopora damicornis,Bottle nursery,subtidal origin,Subtidal culture,25-Oct-20,4.7,2.6,2.9,28,90,,,,17-Dec-20,,,,,0,Dead,,dead,16-Mar-20,,,,,0,Dead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04-Mar-21,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intertidal 2020,Firefly,3,1,Pocillopora damicornis,Bottle nursery,intertidal origin,Subtidal culture,25-Oct-20,2.9,1.6,1.5,5,95,,,,17-Dec-20,3.2,2.8,1.6,12,95,,,,16-Mar-20,,,,,0,Dead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04-Mar-21,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intertidal 2020,Firefly,3,2,Pocillopora damicornis,Bottle nursery,intertidal origin,Subtidal culture,25-Oct-20,4.1,4.2,2.8,39,100,,,,17-Dec-20,4.8,4.7,3.4,62,100,,,,16-Mar-20,,,,,0,Dead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04-Mar-21,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intertidal 2020,Firefly,3,3,Pocillopora damicornis,Bottle nursery,intertidal origin,Subtidal culture,25-Oct-20,3.7,3.9,3.5,40,95,,,,17-Dec-20,4.3,4.3,3.9,57,100,,,,16-Mar-20,,,,,0,Dead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04-Mar-21,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intertidal 2020,Firefly,3,4,Pocillopora damicornis,Bottle nursery,intertidal origin,Subtidal culture,25-Oct-20,,,,,0,Missing,,missing,17-Dec-20,,,,,0,Missing,,missing,16-Mar-20,,,,,0,Missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04-Mar-21,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intertidal 2020,Firefly,3,5,Pocillopora damicornis,Bottle nursery,intertidal origin,Subtidal culture,25-Oct-20,5.2,4.3,2.9,53,100,,,,17-Dec-20,,,,,0,Missing,,missing,16-Mar-20,,,,,0,Missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04-Mar-21,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intertidal 2020,Firefly,3,6,Pocillopora damicornis,Bottle nursery,intertidal origin,Subtidal culture,25-Oct-20,5.5,5.2,3.6,84,100,,,,17-Dec-20,6.3,4,2.6,54,100,,,,16-Mar-20,,,,,0,Dead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04-Mar-21,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intertidal 2020,Firefly,3,7,Pocillopora damicornis,Bottle nursery,intertidal origin,Subtidal culture,25-Oct-20,3.7,2.4,2.6,18,85,,,,17-Dec-20,4.4,3.1,3.2,34,100,,,,16-Mar-20,,,,,0,Dead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04-Mar-21,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intertidal 2020,Firefly,3,8,Pocillopora damicornis,Bottle nursery,intertidal origin,Subtidal culture,25-Oct-20,3.8,3.1,1.6,16,100,,,,17-Dec-20,4.4,3.4,2.4,29,100,,,,16-Mar-20,5.6,4.4,3.5,69,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04-Mar-21,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intertidal 2020,Firefly,4,1,Pocillopora damicornis,Bottle nursery,subtidal origin,Subtidal culture,25-Oct-20,,,,,,,,,17-Dec-20,3.5,2.6,3.2,23,80,,,,16-Mar-20,5.2,4.7,3.9,76,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04-Mar-21,,,,0,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intertidal 2020,Firefly,4,2,Pocillopora damicornis,Bottle nursery,subtidal origin,Subtidal culture,25-Oct-20,,,,,,,,,17-Dec-20,4.2,3.3,2,23,100,,,,16-Mar-20,4.3,4.3,3.1,46,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04-Mar-21,,,,0,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intertidal 2020,Firefly,4,3,Pocillopora damicornis,Bottle nursery,subtidal origin,Subtidal culture,25-Oct-20,,,,,,,,,17-Dec-20,4,3.5,2.2,26,85,,,,16-Mar-20,,,,,0,Dead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04-Mar-21,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intertidal 2020,Firefly,4,4,Pocillopora damicornis,Bottle nursery,subtidal origin,Subtidal culture,25-Oct-20,,,,,,,,,17-Dec-20,4.1,2.6,2.6,22,60,,,,16-Mar-20,5,4,3.7,58,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04-Mar-21,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intertidal 2020,Firefly,4,5,Pocillopora damicornis,Bottle nursery,subtidal origin,Subtidal culture,25-Oct-20,,,,,,,,,17-Dec-20,3.4,1.7,1.5,7,90,,,,16-Mar-20,4,2.2,2.5,17,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04-Mar-21,,,,0,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intertidal 2020,Firefly,4,6,Pocillopora damicornis,Bottle nursery,subtidal origin,Subtidal culture,25-Oct-20,,,,,,,,,17-Dec-20,3.4,3.7,2.9,29,85,,,,16-Mar-20,6.7,5.1,4.1,111,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04-Mar-21,,,,0,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intertidal 2020,Firefly,4,7,Pocillopora damicornis,Bottle nursery,subtidal origin,Subtidal culture,25-Oct-20,,,,,,,,,17-Dec-20,3.6,2.5,1.8,13,95,,,,16-Mar-20,4.5,4,2.6,38,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04-Mar-21,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intertidal 2020,Firefly,4,8,Pocillopora damicornis,Bottle nursery,subtidal origin,Subtidal culture,25-Oct-20,,,,,,,,,17-Dec-20,3.6,1.5,1.7,7,90,,,,16-Mar-20,,,,,0,Dead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04-Mar-21,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intertidal 2020,Firefly,5,1,Pocillopora damicornis,Bottle nursery,intertidal origin,Subtidal culture,25-Oct-20,,,,,,,,,17-Dec-20,4.7,2,1.4,11,100,,,,16-Mar-20,,,,,0,Dead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04-Mar-21,,,,,,,,"Swapped with 21? 5,0,30,70,0,0,0,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intertidal 2020,Firefly,5,2,Pocillopora damicornis,Bottle nursery,intertidal origin,Subtidal culture,25-Oct-20,,,,,,,,,17-Dec-20,4,3.9,2.8,35,100,,,,16-Mar-20,8.4,5.5,5.5,200,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04-Mar-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intertidal 2020,Firefly,5,3,Pocillopora damicornis,Bottle nursery,intertidal origin,Subtidal culture,25-Oct-20,,,,,,,,,17-Dec-20,4,4.7,1.8,33,95,,,,16-Mar-20,7.8,4.9,4.8,144,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04-Mar-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intertidal 2020,Firefly,5,4,Pocillopora damicornis,Bottle nursery,intertidal origin,Subtidal culture,25-Oct-20,,,,,,,,,17-Dec-20,4.1,3.7,2.8,34,90,,,,16-Mar-20,,,,,0,Dead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04-Mar-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intertidal 2020,Firefly,5,5,Pocillopora damicornis,Bottle nursery,intertidal origin,Subtidal culture,25-Oct-20,,,,,,,,,17-Dec-20,4.7,3,2.1,24,95,,,,16-Mar-20,4.5,2.3,2.8,23,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04-Mar-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intertidal 2020,Firefly,5,6,Pocillopora damicornis,Bottle nursery,intertidal origin,Subtidal culture,25-Oct-20,,,,,,,,,17-Dec-20,3.7,3,2.7,24,95,,,,16-Mar-20,4.9,3.4,3.2,42,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04-Mar-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intertidal 2020,Firefly,5,7,Pocillopora damicornis,Bottle nursery,intertidal origin,Subtidal culture,25-Oct-20,,,,,,,,,17-Dec-20,3.8,4.3,3.1,41,85,,,,16-Mar-20,7.2,4.3,4,97,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04-Mar-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intertidal 2020,Firefly,5,8,Pocillopora damicornis,Bottle nursery,intertidal origin,Subtidal culture,25-Oct-20,,,,,,,,,17-Dec-20,5.2,3.7,2.7,42,95,,,,16-Mar-20,3.8,2.4,3.6,27,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04-Mar-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intertidal 2020,Firefly,6,1,Pocillopora damicornis,Bottle nursery,subtidal origin,Subtidal culture,25-Oct-20,,,,,,,,,17-Dec-20,3.4,2.6,2.2,15,100,,,,16-Mar-20,5.7,5,4.3,97,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04-Mar-21,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intertidal 2020,Firefly,6,2,Pocillopora damicornis,Bottle nursery,subtidal origin,Subtidal culture,25-Oct-20,,,,,,,,,17-Dec-20,4.6,3.5,2.7,35,100,,,,16-Mar-20,5.7,4.6,4.7,97,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04-Mar-21,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intertidal 2020,Firefly,6,3,Pocillopora damicornis,Bottle nursery,subtidal origin,Subtidal culture,25-Oct-20,,,,,,,,,17-Dec-20,4.2,2.5,2.4,20,100,,,,16-Mar-20,5,4.6,4.1,74,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04-Mar-21,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intertidal 2020,Firefly,6,4,Pocillopora damicornis,Bottle nursery,subtidal origin,Subtidal culture,25-Oct-20,,,,,,,,,17-Dec-20,3.5,2.2,2.4,15,100,,,,16-Mar-20,5.7,4.9,3.8,85,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04-Mar-21,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intertidal 2020,Firefly,6,5,Pocillopora damicornis,Bottle nursery,subtidal origin,Subtidal culture,25-Oct-20,,,,,,,,,17-Dec-20,3.6,3,2.2,19,100,,,,16-Mar-20,5.2,3.8,3.3,51,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04-Mar-21,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intertidal 2020,Firefly,6,6,Pocillopora damicornis,Bottle nursery,subtidal origin,Subtidal culture,25-Oct-20,,,,,,,,,17-Dec-20,3.4,1.9,1.6,8,95,,,,16-Mar-20,4.1,3.8,3.3,41,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04-Mar-21,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intertidal 2020,Firefly,6,7,Pocillopora damicornis,Bottle nursery,subtidal origin,Subtidal culture,25-Oct-20,,,,,,,,,17-Dec-20,4.4,3.3,2.2,26,95,,,,16-Mar-20,5.9,4.2,3.9,76,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04-Mar-21,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intertidal 2020,Firefly,6,8,Pocillopora damicornis,Bottle nursery,subtidal origin,Subtidal culture,25-Oct-20,,,,,,,,,17-Dec-20,3.5,2.9,1.7,15,95,,,,16-Mar-20,3.4,3.1,2,17,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04-Mar-21,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intertidal 2020,Firefly,7,1,Pocillopora damicornis,Bottle nursery,subtidal origin,Subtidal culture,25-Oct-20,,,,,,,,,17-Dec-20,3.7,3.4,2.5,25,100,,,,16-Mar-20,5.4,4.9,3.8,80,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04-Mar-21,,,,0,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intertidal 2020,Firefly,7,2,Pocillopora damicornis,Bottle nursery,subtidal origin,Subtidal culture,25-Oct-20,,,,,,,,,17-Dec-20,2.1,2.1,1.6,6,100,,,,16-Mar-20,5.7,4.3,4.2,81,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04-Mar-21,,,,0,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intertidal 2020,Firefly,7,3,Pocillopora damicornis,Bottle nursery,subtidal origin,Subtidal culture,25-Oct-20,,,,,,,,,17-Dec-20,4.4,3.6,2.4,31,95,,,,16-Mar-20,6.3,5.5,4.3,119,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04-Mar-21,,,,0,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
